ObservationDate,Confirmed,Recovered,Deaths,Mortality,Recovery
2020-02-21,1316.0,192.0,14.0,1.0638297872340425,14.58966565349544
2020-02-22,1580.0,193.0,15.0,0.949367088607595,12.215189873417721
2020-02-23,1857.0,217.0,23.0,1.2385568120624662,11.685514270328486
2020-02-24,2136.0,231.0,29.0,1.357677902621723,10.814606741573034
2020-02-25,2380.0,248.0,35.0,1.4705882352941175,10.420168067226891
2020-02-26,2819.0,322.0,43.0,1.5253636041149343,11.422490244767648
2020-02-27,3542.0,328.0,53.0,1.4963297571993224,9.260304912478826
2020-02-28,4349.0,367.0,63.0,1.448608875603587,8.438721545182801
2020-02-29,5562.0,450.0,76.0,1.3664149586479684,8.090614886731391
2020-03-01,6773.0,508.0,91.0,1.3435700575815739,7.500369112653182
2020-03-02,8144.0,636.0,115.0,1.412082514734774,7.809430255402751
2020-03-03,10067.0,657.0,129.0,1.2814145226979239,6.526273964438263
2020-03-04,11607.0,932.0,155.0,1.3354010510898595,8.029637287843542
2020-03-05,13381.0,1135.0,175.0,1.3078245273148494,8.482176220013452
2020-03-06,16300.0,1447.0,207.0,1.2699386503067485,8.877300613496933
2020-03-07,18871.0,2284.0,238.0,1.2611944253086749,12.103227173970643
2020-03-08,21204.0,2745.0,319.0,1.5044331258253159,12.945670628183361
2020-03-09,23045.0,3045.0,391.0,1.696680407897592,13.213278368409634
2020-03-10,26686.0,3566.0,467.0,1.7499812635839016,13.362811961328037
2020-03-11,31163.0,4306.0,591.0,1.896479799762539,13.817668388794404
2020-03-12,33234.0,4366.0,681.0,2.049106336883914,13.137148703135344
2020-03-13,44258.0,4604.0,911.0,2.0583849247593653,10.402639070902437
2020-03-14,51088.0,4986.0,1131.0,2.213827121829001,9.75963044159098
2020-03-15,58036.0,6670.0,1365.0,2.3519884209800814,11.492866496657248
2020-03-16,67701.0,7411.0,1666.0,2.4608203719295134,10.946662530834109
2020-03-17,77862.0,9082.0,2063.0,2.6495594770234514,11.66422645192777
2020-03-18,89942.0,9425.0,2393.0,2.6606035000333548,10.47897533966334
2020-03-19,106221.0,9877.0,3007.0,2.8308903135914742,9.29853795388859
2020-03-20,124002.0,11548.0,3759.0,3.0314027193109787,9.312753020112579
2020-03-21,143131.0,13574.0,4567.0,3.190783268474335,9.483619900650453
2020-03-22,161193.0,17855.0,5430.0,3.3686326329307104,11.076783731303468
2020-03-23,187273.0,20705.0,6560.0,3.5029075200375925,11.05605186011865
2020-03-24,211212.0,25749.0,7762.0,3.674980588224154,12.191068689279017
2020-03-25,243215.0,30272.0,9392.0,3.861603930678618,12.446600744197521
2020-03-26,280399.0,36921.0,11178.0,3.986462148581129,13.167308014650553
2020-03-27,319822.0,44370.0,13095.0,4.094465046181939,13.873342046513374
2020-03-28,360853.0,50853.0,15193.0,4.2103017018010105,14.092442074750661
2020-03-29,395164.0,57799.0,17239.0,4.362492534745068,14.626585417699992
2020-03-30,432042.0,68259.0,19546.0,4.524097194254263,15.799158415154082
2020-03-31,475527.0,78948.0,22296.0,4.6886927556164,16.602211861787026
2020-04-01,519462.0,91324.0,25341.0,4.878316411980086,17.58049674470895
2020-04-02,563986.0,106292.0,29496.0,5.229917054678662,18.846567113368064
2020-04-03,608937.0,119444.0,33334.0,5.4741295076502166,19.615165444044294
2020-04-04,671020.0,133431.0,37062.0,5.523233286638252,19.884802241363893
2020-04-05,712363.0,143415.0,40049.0,5.6219932815151825,20.132292103885238
2020-04-06,751061.0,156660.0,43360.0,5.773166227510148,20.85849218638699
2020-04-07,797535.0,176362.0,47995.0,6.017917708940673,22.113386873303366
2020-04-08,843651.0,200917.0,51818.0,6.1421132672159455,23.815179499579802
2020-04-09,889312.0,222243.0,56409.0,6.342993235220034,24.990442049584395
2020-04-10,945028.0,238887.0,60693.0,6.422349390705884,25.278298632421475
2020-04-11,989106.0,260256.0,64105.0,6.481105159608778,26.31224560360568
2020-04-12,1029678.0,276394.0,67605.0,6.5656447938093265,26.84276055232801
2020-04-13,1070542.0,291526.0,70816.0,6.6149669980253,27.23162659662115
2020-04-14,1097466.0,308122.0,74209.0,6.761849569827221,28.075767267505324
2020-04-15,1142874.0,328494.0,79125.0,6.923335380803134,28.742801043684608
2020-04-16,1202077.0,354813.0,83445.0,6.941735013647213,29.51666157825164
2020-04-17,1250609.0,375493.0,87527.0,6.998750208898224,30.02481191163665
2020-04-18,1289192.0,390912.0,90629.0,7.029907104605054,30.32224835400778
2020-04-19,1340862.0,406691.0,93625.0,6.982448603957753,30.330563473347745
2020-04-20,1382145.0,424657.0,96555.0,6.985880642045517,30.7244898328323
2020-04-21,1426369.0,452225.0,100114.0,7.0188008853249055,31.704629026570263
2020-04-22,1466788.0,474606.0,103817.0,7.077846287261689,32.356823208261865
2020-04-23,1515822.0,496151.0,107388.0,7.084472979017326,32.73148166473373
2020-04-24,1574446.0,528079.0,110893.0,7.0433028506535,33.54062317793052
2020-04-25,1620008.0,545858.0,114014.0,7.037866479671704,33.69477187766974
2020-04-26,1661005.0,585388.0,116096.0,6.989503342855681,35.24300047260544
2020-04-27,1702789.0,606403.0,118691.0,6.970387992875218,35.612339520633505
2020-04-28,1745136.0,632815.0,121719.0,6.974757268201446,36.26164379165864
2020-04-29,1786757.0,668141.0,128839.0,7.210773485146553,37.39406085998264
2020-04-30,1810816.0,670403.0,131782.0,7.277492577931717,37.022149130557715
2020-05-01,1856727.0,694451.0,134422.0,7.23972883466444,37.401890531025835
2020-05-02,1904417.0,718293.0,137331.0,7.211183265009711,37.71721214418901
2020-05-03,1952182.0,741755.0,139216.0,7.131302306854587,37.99620117386596
2020-05-04,1998156.0,768058.0,141532.0,7.083130646456033,38.43834014961795
2020-05-05,2045904.0,796719.0,144285.0,7.052383689557281,38.942149778288716
2020-05-06,2101700.0,831959.0,147491.0,7.0176999571775225,39.585050197459196
2020-05-07,2153089.0,859102.0,150120.0,6.972308158185752,39.900905164626266
2020-05-08,2206080.0,885744.0,152863.0,6.92916847983754,40.15013054830287
2020-05-09,2256140.0,919247.0,154828.0,6.862517396970046,40.74423573005221
2020-05-10,2306660.0,943501.0,156863.0,6.800438729591704,40.903340761100466
2020-05-11,2356204.0,970307.0,158619.0,6.731972274047577,41.18094188788407
2020-05-12,2408933.0,1002269.0,161579.0,6.707492487337754,41.606346046154044
2020-05-13,2460347.0,1034906.0,164095.0,6.669587663853919,42.06341625795061
2020-05-14,2514099.0,1067451.0,166516.0,6.623287308892769,42.458590532831046
2020-05-15,2571309.0,1101864.0,168927.0,6.569688823863642,42.852259296723965
2020-05-16,2623933.0,1133046.0,170964.0,6.515562706822163,43.181209276303925
2020-05-17,2676294.0,1163094.0,172959.0,6.462630787200509,43.4591266878751
2020-05-18,2728318.0,1196602.0,174636.0,6.400866761132683,43.85859712834061
2020-05-19,2786277.0,1234098.0,176574.0,6.33727371686304,44.29200686076797
2020-05-20,2841613.0,1274879.0,178849.0,6.293925316360813,44.86462442281901
2020-05-21,2903121.0,1310491.0,181051.0,6.2364262460985955,45.14076402602578
2020-05-22,2966251.0,1355026.0,183879.0,6.199037101041012,45.68143424140438
2020-05-23,3026941.0,1390184.0,185624.0,6.132395709067339,45.92702665826655
2020-05-24,3087203.0,1432094.0,187250.0,6.065360781263817,46.38807360578491
2020-05-25,3143601.0,1477415.0,187024.0,5.949355532079294,46.99753562872642
2020-05-26,3202833.0,1519445.0,189435.0,5.914607474070612,47.44065644384206
2020-05-27,3265548.0,1565465.0,191903.0,5.8765940662945395,47.938814557311666
2020-05-28,3333117.0,1608390.0,194158.0,5.825118050161455,48.25483173857983
2020-05-29,3396719.0,1665387.0,196313.0,5.779488971563441,49.029283847147795
2020-05-30,3473620.0,1712321.0,198538.0,5.715593530668294,49.29500060455663
2020-05-31,3544782.0,1753120.0,200287.0,5.650192310838861,49.456355849245455
2020-06-01,3611034.0,1788945.0,202344.0,5.6034919637976275,49.54107327707244
2020-06-02,3673358.0,1802529.0,204703.0,5.57263953036976,49.07033292153937
2020-06-03,3755103.0,1846765.0,207985.0,5.5387295634766875,49.18014232898538
2020-06-04,3827200.0,1888688.0,210577.0,5.502116429765886,49.34908026755853
2020-06-05,3903059.0,2011285.0,213310.0,5.465200500427998,51.53099146080036
2020-06-06,3979319.0,2063333.0,215502.0,5.4155497460746425,51.85140975126649
2020-06-07,4055755.0,2105330.0,217224.0,5.355944824083308,51.90969375615637
